,S2,SWE,Green_by_red,Blue_by_red,OTSU_ndwi_ful,OTSU_ndwi_ent,NDWI_RG_tol,NIR_RG_tol,SWIR_RG_tol
1995-12-13-22-51-38,L5,0.3285,1.1873056994462405,1.4487433089295298,open,closed,0.7,0.15,0.095
1996-01-14-22-53-57,L5,0.4462,1.56117847565303,2.120896391434193,closed,closed,0.6,0.2,0.125
1996-02-08-22-49-31,L5,1.1153,1.4329196779874955,1.8596134232444164,closed,closed,0.65,0.23,0.155
1996-03-02-22-57-15,L5,0.454,1.4398086887886379,1.8913757739836525,closed,closed,0.35,0.13,0.055
1996-03-11-22-51-39,L5,1.1295,1.610493397834496,2.17843736441622,closed,closed,0.7,0.22,0.15
1996-03-18-22-58-17,L5,0.5121,1.5803787450506601,2.0582119325927457,closed,closed,0.75,0.215,0.12000000000000001
1996-04-19-23-00-17,L5,0.486,1.5747034981964054,2.4505009560019353,closed,closed,0.75,0.22,0.12000000000000001
1996-05-14-22-55-35,L5,1.2406,1.539576679516097,2.491224779636643,closed,closed,0.7,0.21000000000000002,0.095
1996-05-21-23-02-10,L5,0.3978,1.522609905430722,2.3039778291885105,closed,closed,0.65,0.12000000000000001,0.045
1996-05-30-22-56-29,L5,1.0924,1.4522949504649418,2.259473428248039,closed,closed,0.6,0.21000000000000002,0.09000000000000001
1996-07-01-22-58-12,L5,1.0609,1.4894037549737982,2.3209330500129113,closed,closed,0.75,0.22,0.095
1996-07-08-23-04-44,L5,0.4185,1.49968620105446,2.393868603525933,closed,closed,0.8,0.215,0.1
1996-07-17-22-59-02,L5,1.0822,1.5714373331084486,2.6157751764286328,closed,closed,0.7,0.19,0.11
1996-07-24-23-05-35,L5,0.4318,1.5540993969718166,2.413587010814413,closed,closed,0.8,0.2,0.11
1996-08-02-22-59-53,L5,1.0827,1.5157152669663103,2.251824023395897,closed,closed,0.65,0.20500000000000002,0.12000000000000001
1996-08-25-23-07-17,L5,0.4324,1.4930575168648816,2.0689667579895685,closed,closed,0.75,0.20500000000000002,0.08
1996-09-03-23-01-37,L5,1.4992,1.172510139185287,1.7839822063584767,closed,closed,0.75,0.125,0.08
1996-09-10-23-08-11,L5,0.821,1.430166268342378,2.1059466487014764,open,closed,0.6,0.16,0.13
1996-09-26-23-09-03,L5,0.6458,1.6063806055348597,2.3374883644232995,open,open,0.15,0.04,0.045
1996-10-12-23-09-53,L5,0.758,1.5855756072131597,2.0674353880949092,open,open,0.2,0.045,0.025
1996-10-28-23-10-40,L5,0.7916,1.545494208402205,1.9824766478750027,open,open,0.1,0.030000000000000002,0.015
1996-11-13-23-11-25,L5,0.5389,1.5094768202063737,1.90008866475607,open,open,0.1,0.04,0.025
1996-11-29-23-12-11,L5,0.598,1.3536640524594084,1.7207796542803824,open,open,0.2,0.085,0.045
1996-12-08-23-06-26,L5,1.2272,1.5030597922792006,1.9373102371575484,open,open,0.3,0.07,0.055
1996-12-15-23-12-56,L5,0.7164,1.340702658008052,1.6092275708131232,open,open,0.35,0.1,0.09000000000000001
1997-02-17-23-15-51,L5,1.1387,1.5753893525405884,2.0173646792777524,closed,closed,0.6,0.155,0.14
1997-03-14-23-10-40,L5,1.3581,1.4665792676172795,1.9273298001691517,open,closed,0.5,0.14500000000000002,0.14
1997-04-06-23-17-43,L5,0.4921,1.4219764987577033,1.814003780478192,open,open,0.1,0.049999999999999996,0.015
1997-04-15-23-11-51,L5,1.3032,1.4215694690506928,1.9310396245732628,open,closed,0.45,0.15,0.14500000000000002
1997-05-08-23-18-50,L5,0.6512,1.4547434248696003,1.8947787528409579,open,open,0.3,0.06,0.04
1997-05-24-23-19-24,L5,0.6437,1.6289142990678918,2.3594131590358094,open,closed,0.55,0.16,0.07500000000000001
1997-06-09-23-19-57,L5,0.6548,1.5936158062211296,2.3132909101435826,closed,closed,0.55,0.155,0.10500000000000001
1997-07-20-23-15-10,L5,1.2418,1.5512029123638473,2.339602811665173,closed,closed,0.5,0.19,0.11
1997-08-05-23-15-42,L5,1.2184,1.612806409191385,2.394758161446607,closed,closed,0.65,0.18000000000000002,0.10500000000000001
1997-08-12-23-22-07,L5,0.5967,1.5614365715061076,2.2253195247292177,closed,closed,0.75,0.195,0.125
1997-08-21-23-16-13,L5,1.2604,1.5548071103237706,2.141510488406674,closed,closed,0.7,0.195,0.12000000000000001
1997-08-28-23-22-36,L5,0.5533,1.5308769827288946,2.0812621352053475,closed,closed,0.6,0.22,0.23500000000000001
1997-09-13-23-23-04,L5,0.4925,1.354537256428356,1.7038015038249548,closed,closed,0.4,0.16,0.115
1997-09-29-23-23-31,L5,0.5715,1.6098246875419584,2.1644486253100994,closed,closed,0.65,0.195,0.135
1997-10-08-23-17-35,L5,1.1437,1.266113807074534,1.7369601768856011,closed,closed,0.65,0.195,0.14
1997-10-24-23-18-01,L5,1.1279,1.521984960781229,2.116555824685726,closed,closed,0.65,0.22,0.155
1997-10-31-23-24-23,L5,0.5038,1.3604092716253986,1.6012357214418318,closed,closed,0.65,0.195,0.12000000000000001
